receiver_id,history_regime,direction,split,site_index,site_label,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,normalized_recovery_g,valid,invalid_reasons,writable_indicator,common_strict
eval_50073_high,hist32,high,heldout,0,after_block_0,0.04442093303796729,0.0652522673377784,0.06543370956673693,1.0087100627519654,True,,True,True
eval_50073_high,hist32,high,heldout,1,after_block_1,0.04442093303796729,0.0652522673377784,0.06442657521191252,0.9603629746428016,True,,True,True
eval_50073_high,hist32,high,heldout,2,after_block_2,0.04442093303796729,0.0652522673377784,0.05890291242859348,0.6952017178639155,True,,False,True
eval_50073_high,hist32,high,heldout,3,after_block_3,0.04442093303796729,0.0652522673377784,0.05904989030592613,0.7022573329876179,True,,False,True
eval_50073_high,hist32,high,heldout,4,after_block_4,0.04442093303796729,0.0652522673377784,0.05361188831883396,0.44120818899968445,True,,False,True
eval_50073_high,hist32,high,heldout,5,after_block_5,0.04442093303796729,0.0652522673377784,0.053421069829001744,0.43204802253670616,True,,False,True
eval_50073_high,hist32,high,heldout,6,after_block_6,0.04442093303796729,0.0652522673377784,0.050707929114593105,0.30180477093504376,True,,False,True
eval_50073_high,hist32,high,heldout,7,after_block_7,0.04442093303796729,0.0652522673377784,0.05068085985649434,0.30050532185947454,True,,False,True
eval_50073_high,hist32,high,heldout,8,after_block_8,0.04442093303796729,0.0652522673377784,0.04985429398908424,0.2608263528835123,True,,False,True
eval_50073_high,hist32,high,heldout,9,after_block_9,0.04442093303796729,0.0652522673377784,0.04889079056176898,0.2145737502682303,True,,False,True
eval_50073_high,hist32,high,heldout,10,after_block_10,0.04442093303796729,0.0652522673377784,0.049924786983888476,0.26421034134002114,True,,False,True
eval_50073_high,hist32,high,heldout,11,after_block_11,0.04442093303796729,0.0652522673377784,0.04933735909013027,0.23601109662032335,True,,False,True
eval_50073_high,hist32,high,heldout,12,after_block_12,0.04442093303796729,0.0652522673377784,0.0547642603838312,0.4965273561932945,True,,False,True
eval_50073_high,hist32,high,heldout,13,after_block_13,0.04442093303796729,0.0652522673377784,0.05601735313174712,0.556681580108144,True,,False,True
eval_50073_high,hist32,high,heldout,14,after_block_14,0.04442093303796729,0.0652522673377784,0.05958508722220944,0.7279492502013972,True,,False,True
eval_50073_high,hist32,high,heldout,15,after_block_15,0.04442093303796729,0.0652522673377784,0.06053410259194819,0.7735063593178957,True,,False,True
eval_50073_high,hist32,high,heldout,16,after_block_16,0.04442093303796729,0.0652522673377784,0.06055461022209977,0.7744908200277296,True,,False,True
eval_50073_high,hist32,high,heldout,17,after_block_17,0.04442093303796729,0.0652522673377784,0.05863040130234238,0.6821199285589656,True,,False,True
eval_50073_high,hist32,high,heldout,18,after_block_18,0.04442093303796729,0.0652522673377784,0.0586180979374374,0.6815293103715799,True,,False,True
eval_50073_high,hist32,high,heldout,19,after_block_19,0.04442093303796729,0.0652522673377784,0.053282941915014405,0.42541724641841444,True,,False,True
eval_50073_high,hist32,high,heldout,20,after_block_20,0.04442093303796729,0.0652522673377784,0.05144396978904374,0.33713811367043006,True,,False,True
eval_50073_high,hist32,high,heldout,21,after_block_21,0.04442093303796729,0.0652522673377784,0.04906875119082353,0.22311668018780648,True,,False,True
eval_50073_high,hist32,high,heldout,22,after_block_22,0.04442093303796729,0.0652522673377784,0.04898888159182464,0.21928257153929745,True,,False,True
eval_50073_high,hist32,high,heldout,23,after_block_23,0.04442093303796729,0.0652522673377784,0.04781686371281961,0.16302031478046564,True,,False,True
eval_50073_high,hist32,high,heldout,24,after_block_24,0.04442093303796729,0.0652522673377784,0.04803506411201451,0.17349493901982027,True,,False,True
eval_50073_high,hist32,high,heldout,25,after_block_25,0.04442093303796729,0.0652522673377784,0.048127180836600086,0.1779169661093865,True,,False,True
eval_50073_high,hist32,high,heldout,26,after_block_26,0.04442093303796729,0.0652522673377784,0.045619798168033396,0.05755104847397964,True,,False,True
eval_50073_high,hist32,high,heldout,27,after_block_27,0.04442093303796729,0.0652522673377784,0.04541796649748283,0.04786219860744007,True,,False,True
eval_50073_high,hist32,high,heldout,28,after_block_28,0.04442093303796729,0.0652522673377784,0.044796530540848464,0.01803041022122996,True,,False,True
eval_50073_high,hist32,high,heldout,29,after_block_29,0.04442093303796729,0.0652522673377784,0.04442093303796729,0.0,True,,False,True
eval_50081_low,hist32,low,heldout,0,after_block_0,0.010129783627780083,0.003263436451231198,0.0032176706505762168,1.0066652325433367,True,,True,True
eval_50081_low,hist32,low,heldout,1,after_block_1,0.010129783627780083,0.003263436451231198,0.0033482514787849453,0.9876477222352779,True,,True,True
eval_50081_low,hist32,low,heldout,2,after_block_2,0.010129783627780083,0.003263436451231198,0.004070885956141896,0.8824047948422362,True,,False,True
eval_50081_low,hist32,low,heldout,3,after_block_3,0.010129783627780083,0.003263436451231198,0.004023979799356615,0.8892361063939566,True,,False,True
eval_50081_low,hist32,low,heldout,4,after_block_4,0.010129783627780083,0.003263436451231198,0.005107592727271532,0.7314210556758898,True,,False,True
eval_50081_low,hist32,low,heldout,5,after_block_5,0.010129783627780083,0.003263436451231198,0.005773684926581024,0.634412823761191,True,,False,True
eval_50081_low,hist32,low,heldout,6,after_block_6,0.010129783627780083,0.003263436451231198,0.012576475789738055,-0.3563309717740941,True,,False,True
eval_50081_low,hist32,low,heldout,7,after_block_7,0.010129783627780083,0.003263436451231198,0.013112546784069945,-0.43440319570165364,True,,False,True
eval_50081_low,hist32,low,heldout,8,after_block_8,0.010129783627780083,0.003263436451231198,0.018317637575809193,-1.192461397232237,True,,False,True
eval_50081_low,hist32,low,heldout,9,after_block_9,0.010129783627780083,0.003263436451231198,0.025604506984031578,-2.2537053484716587,True,,False,True
eval_50081_low,hist32,low,heldout,10,after_block_10,0.010129783627780083,0.003263436451231198,0.024534994815698683,-2.0979439019800403,True,,False,True
eval_50081_low,hist32,low,heldout,11,after_block_11,0.010129783627780083,0.003263436451231198,0.02645764372277774,-2.3779543438705426,True,,False,True
eval_50081_low,hist32,low,heldout,12,after_block_12,0.010129783627780083,0.003263436451231198,0.022157527813513,-1.751694733236343,True,,False,True
eval_50081_low,hist32,low,heldout,13,after_block_13,0.010129783627780083,0.003263436451231198,0.017340678137968694,-1.0501791308800235,True,,False,True
eval_50081_low,hist32,low,heldout,14,after_block_14,0.010129783627780083,0.003263436451231198,0.016993919565199217,-0.9996779599002359,True,,False,True
eval_50081_low,hist32,low,heldout,15,after_block_15,0.010129783627780083,0.003263436451231198,0.01535831784854475,-0.7614724519934042,True,,False,True
eval_50081_low,hist32,low,heldout,16,after_block_16,0.010129783627780083,0.003263436451231198,0.01569384419754416,-0.8103377861182729,True,,False,True
eval_50081_low,hist32,low,heldout,17,after_block_17,0.010129783627780083,0.003263436451231198,0.011908958244365284,-0.2591151555315671,True,,False,True
eval_50081_low,hist32,low,heldout,18,after_block_18,0.010129783627780083,0.003263436451231198,0.011483352050855974,-0.19713078705062106,True,,False,True
eval_50081_low,hist32,low,heldout,19,after_block_19,0.010129783627780083,0.003263436451231198,0.010150774226284581,-0.0030570255136804906,True,,False,True
eval_50081_low,hist32,low,heldout,20,after_block_20,0.010129783627780083,0.003263436451231198,0.010177973687688139,-0.00701829643462289,True,,False,True
eval_50081_low,hist32,low,heldout,21,after_block_21,0.010129783627780083,0.003263436451231198,0.010915896369365881,-0.11448776494591827,True,,False,True
eval_50081_low,hist32,low,heldout,22,after_block_22,0.010129783627780083,0.003263436451231198,0.010664643394128908,-0.07789582329532782,True,,False,True
eval_50081_low,hist32,low,heldout,23,after_block_23,0.010129783627780083,0.003263436451231198,0.011736479409292195,-0.23399570982946685,True,,False,True
eval_50081_low,hist32,low,heldout,24,after_block_24,0.010129783627780083,0.003263436451231198,0.009322558381984716,0.1175625445436752,True,,False,True
eval_50081_low,hist32,low,heldout,25,after_block_25,0.010129783627780083,0.003263436451231198,0.009144655574969714,0.14347192582614313,True,,False,True
eval_50081_low,hist32,low,heldout,26,after_block_26,0.010129783627780083,0.003263436451231198,0.011519399912575536,-0.20238071991779066,True,,False,True
eval_50081_low,hist32,low,heldout,27,after_block_27,0.010129783627780083,0.003263436451231198,0.009651464247064614,0.06966140342409524,True,,False,True
eval_50081_low,hist32,low,heldout,28,after_block_28,0.010129783627780083,0.003263436451231198,0.01030748627297575,-0.025880230146618284,True,,False,True
eval_50081_low,hist32,low,heldout,29,after_block_29,0.010129783627780083,0.003263436451231198,0.010129783627780083,-0.0,True,,False,True
eval_50092_high,hist32,high,heldout,0,after_block_0,0.04388418563791719,0.06299375206378395,0.06309414931641269,1.0052537692583565,True,,True,True
eval_50092_high,hist32,high,heldout,1,after_block_1,0.04388418563791719,0.06299375206378395,0.06163654026135151,0.928977362846113,True,,True,True
eval_50092_high,hist32,high,heldout,2,after_block_2,0.04388418563791719,0.06299375206378395,0.05662388087907314,0.6666658445955878,True,,False,True
eval_50092_high,hist32,high,heldout,3,after_block_3,0.04388418563791719,0.06299375206378395,0.0568294217052568,0.6774217571894727,True,,False,True
eval_50092_high,hist32,high,heldout,4,after_block_4,0.04388418563791719,0.06299375206378395,0.05309824435103628,0.48216995131019375,True,,False,True
eval_50092_high,hist32,high,heldout,5,after_block_5,0.04388418563791719,0.06299375206378395,0.052972255291808455,0.47557696764849827,True,,False,True
eval_50092_high,hist32,high,heldout,6,after_block_6,0.04388418563791719,0.06299375206378395,0.050177541976340875,0.3293301479569406,True,,False,True
eval_50092_high,hist32,high,heldout,7,after_block_7,0.04388418563791719,0.06299375206378395,0.05046325174611631,0.34428128621974785,True,,False,True
eval_50092_high,hist32,high,heldout,8,after_block_8,0.04388418563791719,0.06299375206378395,0.0504449463673268,0.34332336920679396,True,,False,True
eval_50092_high,hist32,high,heldout,9,after_block_9,0.04388418563791719,0.06299375206378395,0.04935716889791045,0.2864001797856079,True,,False,True
eval_50092_high,hist32,high,heldout,10,after_block_10,0.04388418563791719,0.06299375206378395,0.051317988257495784,0.38900948634377064,True,,False,True
eval_50092_high,hist32,high,heldout,11,after_block_11,0.04388418563791719,0.06299375206378395,0.050673587747360985,0.35528812941844884,True,,False,True
eval_50092_high,hist32,high,heldout,12,after_block_12,0.04388418563791719,0.06299375206378395,0.054681472358973124,0.5650199737886621,True,,False,True
eval_50092_high,hist32,high,heldout,13,after_block_13,0.04388418563791719,0.06299375206378395,0.05606688662848189,0.6375184407153351,True,,False,True
eval_50092_high,hist32,high,heldout,14,after_block_14,0.04388418563791719,0.06299375206378395,0.0592870094295203,0.8060268583987238,True,,False,True
eval_50092_high,hist32,high,heldout,15,after_block_15,0.04388418563791719,0.06299375206378395,0.0544683553277573,0.5538675998170919,True,,False,True
eval_50092_high,hist32,high,heldout,16,after_block_16,0.04388418563791719,0.06299375206378395,0.0529111159562667,0.47237755777287715,True,,False,True
eval_50092_high,hist32,high,heldout,17,after_block_17,0.04388418563791719,0.06299375206378395,0.050597305380227185,0.35129628756113995,True,,False,True
eval_50092_high,hist32,high,heldout,18,after_block_18,0.04388418563791719,0.06299375206378395,0.0556798147479483,0.617263042350585,True,,False,True
eval_50092_high,hist32,high,heldout,19,after_block_19,0.04388418563791719,0.06299375206378395,0.05264101519068191,0.4582432357497891,True,,False,True
eval_50092_high,hist32,high,heldout,20,after_block_20,0.04388418563791719,0.06299375206378395,0.05121671279260208,0.38370976040354116,True,,False,True
eval_50092_high,hist32,high,heldout,21,after_block_21,0.04388418563791719,0.06299375206378395,0.04926117205498041,0.28137668313525493,True,,False,True
eval_50092_high,hist32,high,heldout,22,after_block_22,0.04388418563791719,0.06299375206378395,0.04843692441270937,0.23824395977030557,True,,False,True
eval_50092_high,hist32,high,heldout,23,after_block_23,0.04388418563791719,0.06299375206378395,0.04657157986612642,0.14063083213502783,True,,False,True
eval_50092_high,hist32,high,heldout,24,after_block_24,0.04388418563791719,0.06299375206378395,0.046894519787021915,0.1575302171707009,True,,False,True
eval_50092_high,hist32,high,heldout,25,after_block_25,0.04388418563791719,0.06299375206378395,0.04705028511671746,0.1656813874392581,True,,False,True
eval_50092_high,hist32,high,heldout,26,after_block_26,0.04388418563791719,0.06299375206378395,0.04502140974832383,0.059510722800455156,True,,False,True
