receiver_id,condition,omega_hat,valid,detected_color,omega_true,trajectory_rmse,omega_class
A_284,aligned,5.5051250000000005,True,blue,5.707926064285003,0.06257676548673771,fast
A_284,conflict,2.8895,True,red,5.707926064285003,0.13352728281479526,slow
A_285,aligned,5.970125,True,blue,5.627417814742345,0.059743119848316414,fast
A_285,conflict,2.637625,True,red,5.627417814742345,0.14399106970332437,slow
A_286,aligned,5.881,True,blue,5.7436616015115565,0.03352070763505628,fast
A_286,conflict,2.9205,True,red,5.7436616015115565,0.16153593034090447,slow
A_287,aligned,5.4935,True,blue,6.099042294570065,0.11160469847503865,fast
A_287,conflict,2.8313750000000004,True,red,6.099042294570065,0.1652805321986896,slow
A_288,aligned,5.85775,True,blue,5.4961727594423095,0.05544706227913462,fast
A_288,conflict,2.9708750000000004,True,red,5.4961727594423095,0.1039262257442458,slow
A_289,aligned,6.12125,True,blue,5.216930595644591,0.11376575412758386,fast
A_289,conflict,2.9515000000000002,True,red,5.216930595644591,0.12393439875620464,slow
A_290,aligned,6.284,True,blue,6.284390437255499,0.00990891125683479,fast
A_290,conflict,3.05225,True,red,6.284390437255499,0.1798936080668159,
A_291,aligned,5.443125,True,blue,5.854639455383752,0.0701347917335409,fast
A_291,conflict,2.777125,True,red,5.854639455383752,0.15478390912388018,slow
A_292,aligned,5.50125,True,blue,5.408245923920303,0.020371392043557042,fast
A_292,conflict,2.8313750000000004,True,red,5.408245923920303,0.14725599672164058,slow
A_293,aligned,6.2646250000000006,True,blue,5.483706768094611,0.11579567949993577,fast
A_293,conflict,2.2578750000000003,True,red,5.483706768094611,0.14202423799622552,slow
A_294,aligned,6.15225,True,blue,5.4352769631705895,0.1421758203118248,fast
A_294,conflict,3.06,True,red,5.4352769631705895,0.15336587273345448,
A_295,aligned,5.5516250000000005,True,blue,5.577507081423962,0.018391717304525483,fast
A_295,conflict,3.071625,True,red,5.577507081423962,0.15509385710542115,
A_296,aligned,6.1290000000000004,True,blue,5.963417376527211,0.026831463585855815,fast
A_296,conflict,2.8352500000000003,True,red,5.963417376527211,0.15460393063873956,slow
A_297,aligned,6.163875,True,blue,5.993790301354295,0.022934181813813122,fast
A_297,conflict,2.89725,True,red,5.993790301354295,0.11879850698851405,slow
A_298,aligned,5.582625,True,blue,5.922652439776914,0.07465186389865097,fast
A_298,conflict,2.8933750000000003,True,red,5.922652439776914,0.15243984055937024,slow
A_299,aligned,5.675625,True,blue,5.934569540740724,0.03861904320651929,fast
A_299,conflict,2.544625,True,red,5.934569540740724,0.13481237401743001,slow
A_300,aligned,6.005,True,blue,5.573924330666303,0.06191574268146046,fast
A_300,conflict,2.8778750000000004,True,red,5.573924330666303,0.12392192658058321,slow
A_301,aligned,5.74925,True,blue,5.602001910379972,0.017952619082145647,fast
A_301,conflict,2.7887500000000003,True,red,5.602001910379972,0.12606147888948274,slow
A_302,aligned,5.3075,True,blue,6.028942160585902,0.11912907508282843,fast
A_302,conflict,2.6260000000000003,True,red,6.028942160585902,0.1606702613505484,slow
A_303,aligned,6.187125,True,blue,6.304422136547114,0.023025214255292047,fast
A_303,conflict,3.009625,True,red,6.304422136547114,0.1681199472131504,
A_304,aligned,6.349875,True,blue,5.483969887109649,0.10471186718378418,fast
A_304,conflict,2.769375,True,red,5.483969887109649,0.13952810276885919,slow
A_305,aligned,6.094125,True,blue,5.544400989402126,0.09807508311457512,fast
A_305,conflict,2.7422500000000003,True,red,5.544400989402126,0.12296739216002311,slow
A_306,aligned,5.799625,True,blue,6.077293646522512,0.06020721217984083,fast
A_306,conflict,2.614375,True,red,6.077293646522512,0.17866816569449218,slow
A_307,aligned,5.443125,True,blue,5.537310288187671,0.010472590626641597,fast
A_307,conflict,2.80425,True,red,5.537310288187671,0.13479775251830992,slow
A_308,aligned,5.9585,True,blue,5.457833509166436,0.0844071386167464,fast
A_308,conflict,2.657,True,red,5.457833509166436,0.15979509884608387,slow
A_309,aligned,6.1057500000000005,True,blue,5.602213667530717,0.08256822474955988,fast
A_309,conflict,2.707375,True,red,5.602213667530717,0.13978750656561137,slow
A_310,aligned,5.512875,True,blue,6.206365728771521,0.10913800051734741,fast
A_310,conflict,2.7035,True,red,6.206365728771521,0.15712358269149912,slow
A_311,aligned,6.098,True,blue,5.816924313348446,0.043840495304962146,fast
A_311,conflict,2.955375,True,red,5.816924313348446,0.14325523909891077,slow
A_312,aligned,5.900375,True,blue,5.763951216783564,0.035743459582075164,fast
A_312,conflict,2.68025,True,red,5.763951216783564,0.1735316781105093,slow
A_313,aligned,4.8115000000000006,True,blue,5.609278452971898,0.11489538561255594,
A_313,conflict,2.9747500000000002,True,red,5.609278452971898,0.12279028214856601,slow
A_314,aligned,5.4818750000000005,True,blue,5.760254454915192,0.06433095583777668,fast
A_314,conflict,3.00575,True,red,5.760254454915192,0.15771479594189733,
A_315,aligned,6.2685,True,blue,5.707103045410838,0.10989242298890496,fast
A_315,conflict,3.0173750000000004,True,red,5.707103045410838,0.15120507066174615,
A_316,aligned,6.156125,True,blue,6.381734232032426,0.03357576518524982,fast
A_316,conflict,3.091,True,red,6.381734232032426,0.16030115421331387,
A_317,aligned,6.063125,True,blue,6.36391407562108,0.06097031531967866,fast
A_317,conflict,2.862375,True,red,6.36391407562108,0.16065253176398547,slow
A_318,aligned,5.912,True,blue,6.348101847722128,0.06371434018627771,fast
