receiver_id,pair_id,direction,target_label,condition,omega_true,omega_natural,omega_aligned,omega_edited,recovery_denominator,normalized_recovery,valid,outcome,invalid_reasons,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,fit_rmse,detected_color,detected_shape,intervention_layer_zero_based,fm_calls_observed,fm_calls_expected,intervention_scale,condition_prefix_tokens_edited,target_suffix_tokens_edited,activation_delta_l2,output_video_path
B_153,,B,low,fit_only_predicted,2.607604136492806,5.354,2.521375,2.77325,-2.832625,0.9110807113543091,True,physics,,0.984375,1,1.4526468796446135,0.0007883095617874369,1.6872201606127581,178.0,True,True,0.00846557747031551,red,circle,12,20,20,1.0,1088,0,248.68553229852287,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_153/scale_1p00.mp4
B_155,,B,low,natural_conflict,2.646018186920384,6.047625,2.653125,6.0360000000000005,-3.3945,0.0,True,shortcut,,1.0,0,3.4848524702142396,0.017345217235735177,2.346884458875001,213.0,True,True,0.005785832823474566,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_155/conflict.mp4
B_155,,B,low,full_matched,2.646018186920384,6.047625,2.653125,2.8236250000000003,-3.3945,0.9497716894977168,True,physics,,0.984375,1,1.1338330836080461,0.000985412272899222,0.826921785740582,180.0,True,True,0.003731176972254132,red,circle,12,20,20,1.0,1088,0,247.07630920410156,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_155/edit_full_d.mp4
B_155,,B,low,top4_oracle,2.646018186920384,6.047625,2.653125,2.936,-3.3945,0.9166666666666667,True,physics,,0.984375,1,0.9564723133913858,0.000758830098091634,0.5350138265298517,180.0,True,True,0.004450967862083482,red,circle,12,20,20,1.0,1088,0,240.89517913631533,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_155/edit_rank_4.mp4
B_155,,B,low,fit_only_predicted,2.646018186920384,6.047625,2.653125,2.94375,-3.3945,0.9143835616438356,True,physics,,0.984375,1,0.9383545639446705,0.0007974630057429599,0.7991303908676479,180.0,True,True,0.004233439256625876,red,circle,12,20,20,1.0,1088,0,232.32838058910093,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_155/scale_1p00.mp4
B_158,,B,low,natural_conflict,2.271066866933851,5.536125,2.482625,5.543875,-3.0535,0.0,True,shortcut,,1.0,0,2.886910522563501,0.01727950457040156,2.263376934717663,209.5,True,True,0.006099627952317586,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_158/conflict.mp4
B_158,,B,low,full_matched,2.271066866933851,5.536125,2.482625,2.513625,-3.0535,0.9898477157360406,True,physics,,0.984375,1,0.8484731298044628,0.0013883242002283858,1.0897105970014815,181.0,True,True,0.004846548594334849,red,circle,12,20,20,1.0,1088,0,247.15992736816406,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_158/edit_full_d.mp4
B_158,,B,low,top4_oracle,2.271066866933851,5.536125,2.482625,2.5756250000000005,-3.0535,0.9695431472081217,True,physics,,0.984375,1,0.8488691214917145,0.0013266043250177995,0.9923670745802345,181.0,True,True,0.004797372234025118,red,circle,12,20,20,1.0,1088,0,241.64563929371954,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_158/edit_rank_4.mp4
B_158,,B,low,fit_only_predicted,2.271066866933851,5.536125,2.482625,2.6027500000000003,-3.0535,0.9606598984771573,True,physics,,0.984375,1,0.7978111557103921,0.0012557288237927122,1.05618819556213,179.0,True,True,0.004472540162648202,red,circle,12,20,20,1.0,1088,0,224.3911921742608,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_158/scale_1p00.mp4
B_161,,B,low,natural_conflict,2.794532473648764,6.0360000000000005,2.583375,6.0360000000000005,-3.4526250000000003,0.0,True,shortcut,,1.0,0,3.032562484242107,0.017860864032834323,2.40552886259667,209.0,True,True,0.007312114642123278,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_161/conflict.mp4
B_161,,B,low,full_matched,2.794532473648764,6.0360000000000005,2.583375,3.071625,-3.4526250000000003,0.8585858585858587,True,compromise,,0.984375,1,0.8288081395313626,0.0011341791916782418,1.8444141965003271,176.0,True,True,0.013419622443520693,red,circle,12,20,20,1.0,1088,0,247.48008728027344,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_161/edit_full_d.mp4
